 , ,,,,,,,,,,
Time,2023-06-03 08:38:42.369678327 +0100 BST m=+0.103777060,,,,,,,,,,
Toponame,./config/pi_nodes.csv,,,,,,,,,,
RequestFile,./config/sorted.csv,,,,,,,,,,
MemCap,1000,,,,,,,,,,
NodeNum,10,,,,,,,,,,
Beta,0.5,,,,,,,,,,
SlotNum,30,,,,,,,,,,
ReduFactor,10000,,,,,,,,,,
Token,local,,,,,,,,,,
Alpha,0.001,,,,,,,,,coldstart,
CommCostPara,1,,,,,,,,,,
Testbed,0,,,,,,,,,,0.34
CpuFreq,3,,,,,,,,,,0.31
 , ,,,,,,,,,,0.33
ID,funcType,commCost,runCost,instanCost,iscold,singlecost,,,,,0.32
2,1,0,0.84,18.62,1,19.45,,,,,
3,1,0,0.84,18.62,1,19.45,,,,,
4,1,0,0.84,18.62,1,19.45,,,,,
5,1,0,0.84,18.62,1,19.45,,,,,
6,1,0,0.84,18.62,1,19.45,,,,,
7,1,0,0.84,18.62,1,19.45,,,,,
8,2,0,2.38,52.98,1,55.36,,,,,
9,2,0,2.38,52.98,1,55.36,,,,,
10,2,0,2.38,52.98,1,55.36,,,,,
11,2,0,2.38,52.98,1,55.36,,,,,
12,2,0,2.38,52.98,1,55.36,,,,,
13,2,0,2.38,52.98,1,55.36,,,,,
14,2,0,2.38,52.98,1,55.36,,,,,
15,2,0,2.38,52.98,1,55.36,,,,,
16,2,0,2.38,52.98,1,55.36,,,,,
8475,3,0,4.97,110.37,1,115.34,,,,,
8477,3,0,4.97,110.37,1,115.34,,,,,
8478,3,0,4.97,110.37,1,115.34,,,,,
8479,3,0,4.97,110.37,1,115.34,,,,,
8480,3,0,4.97,110.37,1,115.34,,,,,
8481,3,0,4.97,110.37,1,115.34,,,,,
8482,3,0,4.97,110.37,1,115.34,,,,,
15649,4,0,1.38,30.59,1,31.97,,,,,
15650,4,0,1.38,30.59,1,31.97,,,,,
17,2,0,2.38,0,0,2.38,,,,,
18,2,1.42,2.38,0,0,3.8,,,,,
19,2,0,2.38,52.98,1,55.36,,,,,
20,2,0,2.38,52.98,1,55.36,,,,,
21,2,0,2.38,52.98,1,55.36,,,,,
22,2,0,2.38,52.98,1,55.36,,,,,
23,2,0,2.38,52.98,1,55.36,,,,,
24,2,0,2.38,52.98,1,55.36,,,,,
25,2,0,2.38,52.98,1,55.36,,,,,
8483,3,0,4.97,0,0,4.97,,,,,
8484,3,1.42,4.97,0,0,6.38,,,,,
8486,3,0,4.97,110.37,1,115.34,,,,,
8487,3,0,4.97,110.37,1,115.34,,,,,
8488,3,0,4.97,110.37,1,115.34,,,,,
8489,3,0,4.97,110.37,1,115.34,,,,,
15651,4,0,1.38,0,0,1.38,,,,,
15652,4,0,1.38,30.59,1,31.97,,,,,
15653,4,0,1.38,30.59,1,31.97,,,,,
26,2,0,2.38,0,0,2.38,,,,,
27,2,1.42,2.38,0,0,3.8,,,,,
28,2,0,2.38,52.98,1,55.36,,,,,
29,2,0,2.38,52.98,1,55.36,,,,,
31,2,0,2.38,52.98,1,55.36,,,,,
32,2,0,2.38,52.98,1,55.36,,,,,
33,2,0,2.38,52.98,1,55.36,,,,,
34,2,0,2.38,52.98,1,55.36,,,,,
8490,3,0,4.97,0,0,4.97,,,,,
8491,3,1.5,4.97,0,0,6.47,,,,,
8495,3,0,4.97,110.37,1,115.34,,,,,
8496,3,0,4.97,110.37,1,115.34,,,,,
15654,4,0,1.38,0,0,1.38,,,,,
15655,4,0.46,1.38,0,0,1.84,,,,,
15656,4,0,1.38,30.59,1,31.97,,,,,
35,2,0,2.38,0,0,2.38,,,,,
36,2,1.42,2.38,0,0,3.8,,,,,
40,2,0,2.38,52.98,1,55.36,,,,,
41,2,0,2.38,52.98,1,55.36,,,,,
43,2,0,2.38,52.98,1,55.36,,,,,
8497,3,0,4.97,0,0,4.97,,,,,
8498,3,1.5,4.97,0,0,6.47,,,,,
8502,3,0,4.97,110.37,1,115.34,,,,,
15657,4,0,1.38,0,0,1.38,,,,,
15658,4,0,1.38,30.59,1,31.97,,,,,
15659,4,0,1.38,30.59,1,31.97,,,,,
44,2,0,2.38,0,0,2.38,,,,,
45,2,1.42,2.38,0,0,3.8,,,,,
50,2,0,2.38,52.98,1,55.36,,,,,
8504,3,0,4.97,0,0,4.97,,,,,
8505,3,1.5,4.97,0,0,6.47,,,,,
15660,4,0,1.38,0,0,1.38,,,,,
15661,4,0,1.38,0,0,1.38,,,,,
15662,4,0,1.38,0,0,1.38,,,,,
53,2,0,2.38,0,0,2.38,,,,,
54,2,1.42,2.38,0,0,3.8,,,,,
55,2,0,2.38,52.98,1,55.36,,,,,
56,2,0,2.38,52.98,1,55.36,,,,,
57,2,0,2.38,52.98,1,55.36,,,,,
58,2,0,2.38,52.98,1,55.36,,,,,
60,2,0,2.38,52.98,1,55.36,,,,,
8511,3,0,4.97,0,0,4.97,,,,,
8512,3,1.5,4.97,0,0,6.47,,,,,
15663,4,0,1.38,0,0,1.38,,,,,
15664,4,0,1.38,0,0,1.38,,,,,
15665,4,0,1.38,0,0,1.38,,,,,
62,2,0,2.38,0,0,2.38,,,,,
63,2,1.42,2.38,0,0,3.8,,,,,
64,2,0,2.38,52.98,1,55.36,,,,,
65,2,0,2.38,52.98,1,55.36,,,,,
66,2,0,2.38,52.98,1,55.36,,,,,
67,2,0,2.38,52.98,1,55.36,,,,,
69,2,0,2.38,52.98,1,55.36,,,,,
70,2,0,2.38,52.98,1,55.36,,,,,
8518,3,0,4.97,0,0,4.97,,,,,
8519,3,1.5,4.97,0,0,6.47,,,,,
15666,4,0,1.38,0,0,1.38,,,,,
15667,4,0,1.38,0,0,1.38,,,,,
15668,4,0,1.38,0,0,1.38,,,,,
71,2,0,2.38,0,0,2.38,,,,,
72,2,1.42,2.38,0,0,3.8,,,,,
79,2,0,2.38,52.98,1,55.36,,,,,
80,2,0,2.38,52.98,1,55.36,,,,,
81,2,0,2.38,52.98,1,55.36,,,,,
8525,3,0,4.97,0,0,4.97,,,,,
8526,3,1.5,4.97,0,0,6.47,,,,,
15669,4,0,1.38,0,0,1.38,,,,,
15670,4,0,1.38,0,0,1.38,,,,,
15671,4,0,1.38,0,0,1.38,,,,,
82,2,0,2.38,0,0,2.38,,,,,
83,2,1.5,2.38,0,0,3.89,,,,,
8532,3,0,4.97,0,0,4.97,,,,,
8533,3,1.5,4.97,0,0,6.47,,,,,
15672,4,0,1.38,0,0,1.38,,,,,
15673,4,0,1.38,0,0,1.38,,,,,
15674,4,0,1.38,0,0,1.38,,,,,
91,2,0,2.38,0,0,2.38,,,,,
92,2,1.5,2.38,0,0,3.89,,,,,
99,2,0,2.38,52.98,1,55.36,,,,,
101,2,0,2.38,52.98,1,55.36,,,,,
8539,3,0,4.97,0,0,4.97,,,,,
8540,3,1.5,4.97,0,0,6.47,,,,,
15675,4,0,1.38,0,0,1.38,,,,,
15676,4,0,1.38,0,0,1.38,,,,,
